iter	Logloss
0	0.6867033735
1	0.6815794323
2	0.67680496
3	0.6730782217
4	0.669438172
5	0.6660604986
6	0.6623905249
7	0.6601569555
8	0.6569427535
9	0.6542527771
10	0.6518325619
11	0.6499504287
12	0.6477029393
13	0.6454572152
14	0.6437606978
15	0.642088453
16	0.6404594423
17	0.6390522016
18	0.6377444666
19	0.6363632374
20	0.6353558026
21	0.6342296347
22	0.6335666243
23	0.6328666974
24	0.6319650952
25	0.6313813747
26	0.63077279
27	0.6301854936
28	0.6294692068
29	0.6287155303
30	0.6281001178
31	0.6274072994
32	0.6267900934
33	0.6263622913
34	0.6258708274
35	0.6253705843
36	0.6250100182
37	0.6246046993
38	0.6241672317
39	0.6237112732
40	0.6232558533
41	0.6229229115
42	0.6226040515
43	0.6223087283
44	0.622139894
45	0.6219152935
46	0.6216730925
47	0.6215373934
48	0.6212424055
49	0.6208590691
50	0.6206718366
51	0.6204255285
52	0.6201552249
53	0.619950363
54	0.6198283991
55	0.6194958614
56	0.6192834693
57	0.6191642058
58	0.6189519452
59	0.6186730696
60	0.618477203
61	0.6181924531
62	0.6180318507
63	0.6179182914
64	0.6177822087
65	0.6176053668
66	0.6174665153
67	0.6172618302
68	0.617156867
69	0.6169171916
70	0.6168162948
71	0.6166634945
72	0.6165170127
73	0.6164442561
74	0.6162409457
75	0.6160319667
76	0.6159513622
77	0.6158830955
78	0.6157821828
79	0.6155479232
80	0.6154945552
81	0.6153784472
82	0.6152807321
83	0.615191095
84	0.6150304034
85	0.6149338439
86	0.6148452918
87	0.6147232338
88	0.6146179304
89	0.6144991407
90	0.6143895349
91	0.6142201127
92	0.6141587164
93	0.61408557
94	0.6139696618
95	0.6139085319
96	0.6138660415
97	0.6137557239
98	0.6136898142
99	0.6136575904
100	0.6136027636
101	0.6135319014
102	0.6134651295
103	0.6133485212
104	0.6132509924
105	0.61314455
106	0.6130746413
107	0.6130260112
108	0.6129818429
109	0.612913497
110	0.6128823707
111	0.6128073482
112	0.6127178998
113	0.6126473817
114	0.6126318656
115	0.6125868664
116	0.6125248268
117	0.6124647529
118	0.6123552425
119	0.6123176917
120	0.6122272147
121	0.6121508132
122	0.6120963581
123	0.6120571525
124	0.6119733038
125	0.6119507403
126	0.6118517882
127	0.6118097676
128	0.6117355008
129	0.6116896679
130	0.6116235784
131	0.6115993978
132	0.6115137201
133	0.6114828784
134	0.6114505153
135	0.6113583612
136	0.611285081
137	0.6112632452
138	0.6112243709
139	0.6111832666
140	0.6111362997
141	0.6111018044
142	0.6110946901
143	0.6110734305
144	0.6110207827
145	0.6109276903
146	0.6108401929
147	0.610812377
148	0.6107650247
149	0.6107174825
150	0.6107060014
151	0.6106783133
152	0.6106391135
153	0.6106012994
154	0.6105640757
155	0.6105405833
156	0.6104702703
157	0.610425718
158	0.6103797286
159	0.6103082426
160	0.6102817579
161	0.6102297848
162	0.6101965032
163	0.6101530197
164	0.6101197403
165	0.6100877657
166	0.6100303959
167	0.6099786288
168	0.6099670651
169	0.6098953857
170	0.6098599553
171	0.6098182267
172	0.6097858888
173	0.6097360016
174	0.6097180433
175	0.6096439478
176	0.6095981467
177	0.6095830974
178	0.6095389935
179	0.6095194364
180	0.6094854703
181	0.6094623363
182	0.6094325819
183	0.6093821392
184	0.609373073
185	0.6093392864
186	0.6092901002
187	0.6092512123
188	0.6092277343
189	0.609214401
190	0.6091858444
191	0.6091326646
192	0.6091026173
193	0.6090953605
194	0.6090632475
195	0.6090473851
196	0.6090285158
197	0.6089835034
198	0.6089384498
199	0.608933347
200	0.6089078151
201	0.6088327425
202	0.6088197661
203	0.6088119643
204	0.6087963474
205	0.6087473424
206	0.6087172168
207	0.6086531088
208	0.6086271009
209	0.6085789453
210	0.6085104892
211	0.6084627376
212	0.6084358249
213	0.6083821611
214	0.6083540586
215	0.6082967484
216	0.6082298296
217	0.6082121168
218	0.6081740091
219	0.6081455134
220	0.6081260214
221	0.6080978205
222	0.6080460484
223	0.6080333885
224	0.6079980982
225	0.6079172488
226	0.6078858015
227	0.6078551862
228	0.6077924235
229	0.6077678168
230	0.6077479872
231	0.6077353883
232	0.6077164727
233	0.6076606983
234	0.6076204505
235	0.6075876402
236	0.6075589916
237	0.6075407695
238	0.6075062204
239	0.6074093433
240	0.6074085245
241	0.6073793449
242	0.6073157391
243	0.6072896157
244	0.6072433196
245	0.6071981309
246	0.607163722
247	0.6071309666
248	0.6070739501
249	0.607032027
250	0.6070033441
251	0.606966026
252	0.606921845
253	0.6068552229
254	0.6067151416
255	0.6066845479
256	0.6066582916
257	0.606627663
258	0.6065672467
259	0.6065254121
260	0.6064836565
261	0.6064418437
262	0.6063940403
263	0.6063366625
264	0.6062460415
265	0.6061766447
266	0.6061058148
267	0.6060574599
268	0.6060114304
269	0.6059854365
270	0.6059127499
271	0.6058186213
272	0.605789861
273	0.6056940202
274	0.6056245752
275	0.6055644861
276	0.6055197676
277	0.6054701615
278	0.605385598
279	0.6052657712
280	0.6052083753
281	0.6051680257
282	0.6051039206
283	0.6049897802
284	0.6048734268
285	0.6047989499
286	0.6047278931
287	0.6046733314
288	0.6046186305
289	0.60458411
290	0.6045146706
291	0.6044479148
292	0.6043868605
293	0.6043225399
294	0.6042320172
295	0.6041790354
296	0.6041581934
297	0.6040443034
298	0.6039464142
299	0.6038478111
300	0.6037654493
301	0.6037048923
302	0.603648989
303	0.6036225878
304	0.6036127553
305	0.6035314846
306	0.6034684337
307	0.6033965949
308	0.6032967056
309	0.6032026936
310	0.60313491
311	0.6030352373
312	0.6029715373
313	0.6028446858
314	0.6027900476
315	0.6027435195
316	0.6027222476
317	0.6026279837
318	0.602548533
319	0.6024961733
320	0.6024511486
321	0.6023965572
322	0.6023458971
323	0.6022793157
324	0.60222357
325	0.602180353
326	0.6021278907
327	0.6020473826
328	0.6020044847
329	0.6019332687
330	0.6018542471
331	0.6017851238
332	0.6017551271
333	0.6016877855
334	0.6016062686
335	0.6015923114
336	0.6015210061
337	0.6015095585
338	0.6013907593
339	0.6013237745
340	0.6013192493
341	0.6012660129
342	0.6011824607
343	0.6011416204
344	0.6010666439
345	0.6010519917
346	0.6009935372
347	0.6009625659
348	0.6009037616
349	0.6008791209
350	0.6008332678
351	0.6007930912
352	0.6007287106
353	0.6006751827
354	0.6006156737
355	0.6005830603
356	0.600532873
357	0.6004494388
358	0.6004025365
359	0.6003839094
360	0.6003011964
361	0.6002479886
362	0.6002100238
363	0.6001339359
364	0.6000692571
365	0.5999972204
366	0.5999713325
367	0.5999125912
368	0.5998414138
369	0.5997751993
370	0.5997246174
371	0.5996658938
372	0.5996288698
373	0.5996054671
374	0.5995745235
375	0.5995396392
376	0.5994805
377	0.5994446997
378	0.5993944956
379	0.5993355784
380	0.5992643565
381	0.5992041448
382	0.5991326758
383	0.5990988571
384	0.599044125
385	0.5989745858
386	0.598920731
387	0.5988775076
388	0.5988311587
389	0.5988222502
390	0.5988031356
391	0.5987697562
392	0.598686521
393	0.5986333064
394	0.5985854988
395	0.5985309078
396	0.5984660637
397	0.5984423486
398	0.5983770561
399	0.5983656478
400	0.5983157196
401	0.5983075978
402	0.598279291
403	0.5982321507
404	0.5981738591
405	0.598152332
406	0.598094294
407	0.5980551786
408	0.5979786487
409	0.5979106773
410	0.5978779237
411	0.5978483096
412	0.5977886857
413	0.5977518712
414	0.5976816095
