iter	Passed	Remaining
0	32	16255
1	57	14233
2	78	13087
3	99	12347
4	121	11983
5	145	11968
6	167	11789
7	188	11565
8	211	11556
9	232	11368
10	262	11676
11	284	11569
12	310	11618
13	332	11534
14	356	11526
15	378	11441
16	401	11395
17	426	11414
18	446	11293
19	474	11378
20	512	11680
21	534	11619
22	557	11562
23	579	11485
24	599	11394
25	623	11375
26	650	11388
27	672	11340
28	698	11339
29	719	11274
30	746	11287
31	767	11231
32	806	11414
33	827	11339
34	866	11511
35	912	11755
36	953	11934
37	974	11853
38	1011	11950
39	1048	12055
40	1069	11977
41	1097	11968
42	1118	11890
43	1140	11814
44	1160	11733
45	1182	11669
46	1204	11610
47	1218	11472
48	1240	11415
49	1262	11363
50	1283	11296
51	1303	11232
52	1325	11176
53	1348	11137
54	1369	11078
55	1396	11068
56	1416	11012
57	1442	10994
58	1467	10971
59	1488	10916
60	1511	10876
61	1532	10826
62	1555	10787
63	1577	10745
64	1600	10711
65	1630	10719
66	1652	10678
67	1668	10600
68	1691	10565
69	1712	10520
70	1735	10483
71	1756	10439
72	1777	10396
73	1797	10347
74	1813	10275
75	1833	10231
76	1854	10189
77	1874	10142
78	1892	10085
79	1914	10049
80	1935	10014
81	1960	9995
82	1979	9945
83	1999	9904
84	2019	9861
85	2042	9831
86	2064	9801
87	2085	9761
88	2106	9726
89	2127	9692
90	2148	9656
91	2169	9619
92	2190	9585
93	2210	9548
94	2232	9517
95	2254	9489
96	2275	9455
97	2292	9402
98	2313	9370
99	2334	9336
100	2354	9301
101	2377	9277
102	2398	9244
103	2426	9239
104	2464	9272
105	2492	9262
106	2513	9230
107	2535	9201
108	2566	9205
109	2590	9184
110	2640	9254
111	2658	9210
112	2687	9204
113	2706	9164
114	2727	9132
115	2747	9096
116	2768	9062
117	2789	9029
118	2809	8993
119	2830	8961
120	2850	8928
121	2871	8897
122	2892	8866
123	2914	8836
124	2934	8804
125	2955	8771
126	2975	8739
127	2996	8708
128	3016	8676
129	3039	8651
130	3060	8620
131	3081	8591
132	3102	8561
133	3123	8531
134	3144	8500
135	3162	8464
136	3183	8434
137	3204	8405
138	3226	8379
139	3247	8350
140	3269	8325
141	3287	8288
142	3308	8259
143	3329	8230
144	3348	8199
145	3372	8176
146	3392	8146
147	3413	8119
148	3435	8092
149	3456	8065
150	3479	8041
151	3494	7999
152	3513	7969
153	3536	7946
154	3557	7918
155	3578	7890
156	3598	7862
157	3624	7844
158	3644	7816
159	3666	7790
160	3688	7766
161	3708	7737
162	3729	7710
163	3749	7680
164	3771	7658
165	3792	7630
166	3812	7602
167	3833	7576
