iter	Passed	Remaining
0	16	8019
1	30	7615
2	46	7696
3	61	7621
4	76	7544
5	91	7519
6	105	7434
7	119	7374
8	134	7323
9	148	7256
10	163	7276
11	178	7278
12	199	7485
13	221	7681
14	252	8174
15	274	8306
16	292	8306
17	309	8285
18	326	8258
19	343	8245
20	364	8312
21	383	8340
22	399	8286
23	414	8227
24	430	8175
25	446	8132
26	462	8099
27	477	8053
28	492	8003
29	507	7947
30	523	7914
31	538	7870
32	553	7839
33	569	7802
34	584	7760
35	599	7724
36	614	7688
37	629	7652
38	645	7629
39	660	7595
40	675	7562
41	690	7533
42	705	7499
43	720	7468
44	735	7434
45	750	7408
46	765	7380
47	774	7297
48	789	7268
49	804	7240
50	819	7214
51	834	7193
52	849	7165
53	863	7135
54	879	7114
55	895	7097
56	910	7073
57	924	7048
58	940	7030
59	955	7010
60	971	6991
61	986	6969
62	1003	6961
63	1017	6931
64	1032	6911
65	1047	6889
66	1062	6868
67	1077	6843
68	1093	6827
69	1107	6805
70	1121	6778
71	1136	6756
72	1150	6730
73	1165	6708
74	1180	6692
75	1201	6702
76	1216	6682
77	1231	6663
78	1247	6646
79	1262	6629
80	1278	6612
81	1296	6610
82	1311	6586
83	1325	6565
84	1341	6551
85	1357	6533
86	1371	6511
87	1386	6490
88	1401	6471
89	1415	6449
90	1429	6424
91	1444	6404
92	1459	6387
93	1475	6371
94	1490	6355
95	1505	6336
96	1517	6306
97	1533	6291
98	1548	6272
99	1562	6251
100	1577	6230
101	1592	6213
102	1607	6195
103	1622	6178
104	1639	6168
105	1654	6149
106	1669	6130
107	1684	6112
108	1698	6092
109	1714	6077
110	1728	6059
111	1744	6041
112	1758	6023
113	1773	6006
114	1790	5995
115	1805	5978
116	1821	5962
117	1836	5945
118	1851	5928
119	1867	5913
120	1884	5903
121	1900	5887
122	1914	5868
123	1929	5851
124	1945	5835
125	1960	5818
126	1975	5802
127	1990	5784
128	2004	5766
129	2020	5749
130	2035	5733
131	2049	5714
132	2064	5697
133	2079	5679
134	2092	5656
135	2107	5639
136	2122	5623
137	2136	5603
138	2150	5585
139	2166	5569
140	2177	5544
141	2192	5527
142	2206	5508
143	2222	5495
144	2238	5481
145	2254	5465
146	2269	5449
147	2284	5432
148	2299	5416
149	2314	5399
150	2323	5370
151	2338	5353
152	2353	5337
153	2367	5319
154	2382	5303
155	2398	5289
156	2413	5271
157	2428	5256
158	2443	5240
159	2460	5228
160	2474	5211
161	2490	5195
162	2505	5180
163	2520	5164
164	2535	5147
165	2549	5130
166	2565	5114
167	2579	5097
168	2593	5080
169	2608	5064
170	2624	5049
171	2639	5032
172	2653	5015
173	2668	5000
174	2683	4984
175	2699	4969
176	2714	4953
177	2729	4937
178	2744	4922
179	2759	4906
180	2774	4890
181	2789	4873
182	2803	4856
183	2818	4840
184	2833	4824
185	2847	4807
186	2862	4791
187	2878	4776
188	2893	4761
189	2907	4744
190	2922	4727
191	2938	4713
192	2953	4697
193	2963	4675
194	2979	4659
195	2993	4643
196	3008	4626
197	3022	4609
198	3037	4594
199	3052	4578
200	3066	4561
201	3081	4546
202	3095	4529
203	3105	4506
204	3119	4489
205	3134	4474
206	3150	4459
207	3165	4444
208	3180	4428
209	3195	4413
210	3211	4399
211	3227	4384
212	3241	4368
213	3256	4351
214	3270	4335
215	3288	4323
216	3304	4309
217	3320	4295
218	3335	4280
219	3350	4264
220	3365	4248
221	3379	4231
222	3394	4216
223	3409	4201
224	3425	4186
225	3441	4172
226	3458	4159
227	3473	4144
228	3488	4128
229	3502	4111
230	3516	4095
231	3532	4080
232	3547	4064
233	3562	4049
234	3577	4034
235	3592	4019
236	3607	4003
237	3623	3988
238	3638	3973
239	3653	3958
240	3668	3942
241	3683	3927
242	3698	3911
243	3712	3895
244	3728	3880
245	3744	3866
246	3759	3850
247	3768	3829
248	3783	3814
249	3798	3798
250	3814	3784
251	3829	3768
252	3844	3752
253	3859	3737
254	3874	3722
255	3890	3707
256	3905	3693
257	3921	3678
258	3936	3663
259	3944	3641
260	3960	3626
261	3976	3612
262	3991	3597
263	4007	3582
264	4023	3568
265	4038	3552
266	4054	3538
267	4070	3523
268	4085	3508
269	4101	3493
270	4115	3477
271	4130	3462
272	4145	3446
273	4161	3432
274	4176	3417
275	4192	3402
276	4208	3388
277	4224	3373
278	4241	3359
279	4256	3344
280	4272	3329
281	4288	3315
282	4303	3300
283	4319	3285
284	4335	3270
285	4350	3255
286	4366	3240
287	4381	3225
288	4397	3210
289	4414	3196
290	4429	3181
291	4445	3166
292	4462	3152
293	4477	3137
294	4494	3123
295	4509	3108
296	4524	3092
297	4540	3078
298	4555	3062
299	4571	3047
300	4587	3033
301	4603	3017
302	4619	3003
303	4635	2988
304	4650	2973
305	4665	2958
306	4681	2943
307	4696	2927
308	4713	2913
309	4729	2898
310	4745	2884
311	4760	2868
312	4775	2853
313	4791	2838
314	4808	2824
315	4824	2809
316	4841	2794
317	4856	2779
318	4871	2764
319	4888	2749
320	4902	2733
321	4918	2718
322	4934	2704
323	4950	2689
324	4966	2674
325	4981	2658
326	4996	2643
327	5012	2628
328	5027	2613
329	5042	2597
330	5058	2582
331	5073	2567
332	5090	2552
333	5105	2537
334	5122	2522
335	5138	2507
336	5152	2492
337	5168	2477
338	5184	2462
339	5200	2447
340	5214	2431
341	5230	2416
342	5245	2400
343	5260	2385
344	5276	2370
345	5292	2355
346	5307	2340
347	5322	2324
348	5338	2309
349	5353	2294
350	5367	2278
351	5383	2263
352	5399	2248
353	5415	2233
354	5431	2218
355	5447	2203
356	5467	2189
357	5482	2174
358	5499	2159
359	5515	2144
360	5531	2129
361	5545	2114
362	5560	2098
363	5575	2083
364	5590	2067
365	5608	2053
366	5627	2039
367	5642	2023
368	5657	2008
369	5673	1993
370	5688	1978
371	5706	1963
372	5722	1948
373	5736	1932
374	5751	1917
375	5767	1902
376	5782	1886
377	5797	1871
378	5811	1855
379	5827	1840
380	5842	1824
381	5857	1809
382	5876	1795
383	5891	1779
384	5907	1764
385	5924	1749
386	5941	1734
387	5958	1719
388	5973	1704
389	5987	1688
390	6003	1673
391	6018	1658
392	6033	1642
393	6048	1627
394	6064	1611
395	6080	1596
396	6095	1581
397	6110	1565
398	6125	1550
399	6139	1534
400	6155	1519
401	6171	1504
402	6186	1488
403	6202	1473
404	6219	1458
405	6235	1443
406	6250	1428
407	6264	1412
408	6279	1397
409	6295	1381
410	6310	1366
411	6326	1351
412	6342	1336
413	6357	1320
414	6373	1305
415	6389	1290
416	6405	1274
417	6420	1259
418	6438	1244
419	6453	1229
420	6468	1213
421	6483	1198
422	6499	1183
423	6515	1167
424	6531	1152
425	6547	1137
426	6562	1122
427	6577	1106
428	6593	1091
429	6609	1075
430	6625	1060
431	6640	1045
432	6655	1029
433	6671	1014
434	6686	999
435	6701	983
436	6716	968
437	6731	952
438	6746	937
439	6761	922
440	6777	906
441	6792	891
442	6806	875
443	6823	860
444	6837	845
445	6854	829
446	6869	814
447	6884	799
448	6899	783
449	6915	768
450	6932	753
451	6948	737
452	6963	722
453	6978	707
454	6993	691
455	7009	676
456	7024	660
457	7041	645
458	7056	630
459	7071	614
460	7086	599
461	7102	584
462	7117	568
463	7132	553
464	7146	537
465	7163	522
466	7179	507
467	7193	491
468	7209	476
469	7225	461
470	7240	445
471	7255	430
472	7271	415
473	7285	399
474	7300	384
475	7315	368
476	7331	353
477	7346	338
478	7360	322
479	7376	307
480	7391	291
481	7406	276
482	7422	261
483	7439	245
484	7455	230
485	7470	215
486	7485	199
487	7500	184
488	7516	169
489	7532	153
490	7548	138
491	7563	122
492	7577	107
493	7595	92
494	7610	76
495	7625	61
496	7640	46
497	7654	30
498	7669	15
499	7686	0
